,Fenerbahçe Beko,CSKA Moscow,Real Madrid,Anadolu Efes,Barcelona Lassa,Panathinaikos OPAP,Kirolbet Baskonia,Žalgiris,Olympiacos,Maccabi FOX Tel Aviv,Bayern Munich,AX Armani Exchange Olimpia,Khimki,Herbalife Gran Canaria,Budućnost VOLI,Darüşşafaka Tekfen
Fenerbahçe Beko,0,28,25,24,26,22,16,18,20,30,21,29,17,19,27,23
CSKA Moscow,28,0,22,27,20,26,30,16,24,18,19,25,29,23,21,17
Real Madrid,25,22,0,20,24,29,28,30,18,16,23,27,26,17,19,21
Anadolu Efes,24,27,20,0,25,21,29,17,23,26,16,30,18,22,28,19
Barcelona Lassa,26,20,24,25,0,18,23,22,21,19,28,17,30,27,29,16
Panathinaikos OPAP,22,26,29,21,18,0,27,19,16,20,17,28,23,24,30,25
Kirolbet Baskonia,16,30,28,29,23,27,0,24,17,21,22,19,25,18,26,20
Žalgiris,18,16,30,17,22,19,24,0,29,27,26,20,21,25,23,28
Olympiacos,20,24,18,23,21,16,17,29,0,22,27,26,19,28,25,30
Maccabi FOX Tel Aviv,30,18,16,26,19,20,21,27,22,0,25,23,28,29,17,24
Bayern Munich,21,19,23,16,28,17,22,26,27,25,0,18,20,30,24,29
AX Armani Exchange Olimpia,29,25,27,30,17,28,19,20,26,23,18,0,24,21,16,22
Khimki,17,29,26,18,30,23,25,21,19,28,20,24,0,16,22,27
Herbalife Gran Canaria,19,23,17,22,27,24,18,25,28,29,30,21,16,0,20,26
Budućnost VOLI,27,21,19,28,29,30,26,23,25,17,24,16,22,20,0,18
Darüşşafaka Tekfen,23,17,21,19,16,25,20,28,30,24,29,22,27,26,18,0